authors,title,series,tags,pubdate,publisher,isbn,identifiers
"Oden, Thomas C., author","The justification reader","","Systematic Theology, Theology, Bible","2020-01-06T22:13:40+11:00","","",""
"Thomas C. Oden","The Living God systematic theology-Prince Press","","Christianity, Theology, Bible","2019-07-04T17:11:01+11:00","","9780060663636","amazon:0060663634,isbn:9780060663636"
"Bruce K. Waltke & Cathi J. Fredricks","Genesis","","Old Testament (OT), Bible, Old Testament Commentary, Genesis, Theology","2016-10-02T11:00:00+11:00","Zondervan Academic","9780310531029","goodreads:61321027,google:oZgnDQAAQBAJ,isbn:9780310531029"
"Shirley C. Guthrie Jr.","Christian Doctrine, Revised Edition","","Reference, Theology, Systematic Theology","1994-07-01T15:00:00+11:00","Presbyterian Publishing Corporation","9781611642797","mobi-asin:B00SLHGOBS,amazon:B00SLHGOBS,google:kZd1BwAAQBAJ,isbn:9781611642797,goodreads:24938510"
"Bruce K. Waltke","The Psalms as Christian Worship: An Historical Commentary","","Psalms, Old Testament (OT), Wisdom Literature, Theology, Bible","2011-05-21T10:11:00+11:00","","9780802863744","oasin:0802863744,amazon:B005LTIVMO,google:nJbZ3d5BF0UC,guid:af8e9fc0e6e2db901bdcc37578506a46134e8846,goodreads:19016132,asin:B005LTIVMO,isbn:9780802863744"
"Bruce K. Waltke","The Psalms as Christian Praise","","Companion, Psalms, Book of Wisdom, Old Testament (OT), Wisdom Literature, Bible, Theology, old testament theology, Old Testament Commentary","0101-01-01T11:00:00+11:00","Eerdmans","9781467457422","isbn:9781467457422,goodreads:44165793,google:WM_XDwAAQBAJ,amazon:0802877028"
"Tod Linafelt, Timothy Beal, Claudia V. Camp","The Fate of King David The Past & Present of a Biblical Icon","","Old Testament (OT), Bible, Ancient Near East, ANE, Exegesis","2010-01-01T19:00:00+11:00","T&T Clark","9780567515469","amazon:056751546X,google:a5YyEAAAQBAJ,goodreads:7461818,isbn:9780567515469"
"Bruce J. Malina","The New Testament World Insights from Cultural Anthropology","","New Testament (NT), Cultural Context, Bible","0101-01-01T11:00:00+11:00","","9780664254568","goodreads:2453444,google:6OCKAAAAMAAJ,isbn:9780664254568,amazon:066425456X"
"Yair Zakovitch","The Song of Songs","","Bible, Exegesis, Old Testament (OT), Wisdom Literature","2018-07-06T21:18:43+11:00","","9780567676146","amazon:0567676145,isbn:9780567676146,goodreads:41642860,google:AzhsDwAAQBAJ"
"ALLEGRO, John Marco","The Dead Sea Scrolls","","History, Philosophy, Reference, Dead Sea Scrolls, Qumran, Textual Criticism","0101-01-01T11:00:00+11:00","","9780879757571","amazon:0879757574,google:oFtTAAAAYAAJ,goodreads:368639,isbn:9780879757571"
"Wojciech Pikor","The Land of Israel in the Book of Ezekiel","","Bible, Old Testament (OT), Prophecy","2018-03-15T03:39:17+11:00","","9780567678843","amazon:0567678849,isbn:9780567678843,goodreads:36794681"
"Lester L. Grabbe","Even God Cannot Change the Past","","Bible, Old Testament (OT), Essays","2018-04-21T07:51:39+11:00","","9780567680563","isbn:9780567680563,amazon:0567680568,goodreads:38122408"
"Andrzej Toczyski","The ‘Geometrics’ of the Rahab Story","","Old Testament (OT), Joshua, Exegesis","2018-03-03T00:07:54+11:00","","9780567679055","goodreads:40141067,google:x0RaDwAAQBAJ,isbn:9780567679055,amazon:0567679055"
"Mark J. Boda, Kevin Chau & Beth LaNeel Tanner","Inner Biblical Allusion in the Poetry of Wisdom and Psalms","","Wisdom Literature, Old Testament (OT), Psalms, Bible","2018-07-06T15:39:21+11:00","","9780567675897","google:7-twDwAAQBAJ,amazon:0567675890,isbn:9780567675897,goodreads:34928135"
"Stephanie Day Powell","Narrative Desire and the Book of Ruth","","Old Testament (OT), Narrative Criticism, Ruth","2020-04-23T01:34:48+11:00","","9780567678768","google:gV9HDwAAQBAJ,isbn:9780567678768,goodreads:39738111,amazon:0567678768"
"Eun-Woo Lee","Crossing the Jordan Diachrony Versus Synchrony in the Book of Joshua","","Old Testament (OT), Biblical Hebrew, Joshua, Bible","2013-01-01T19:00:00+11:00","Bloomsbury T&T Clark","9780567380678","goodreads:18311790,google:mewRBwAAQBAJ,amazon:056738067X,isbn:9780567380678"
"Louis Jonker","Historiography & Identity (Re)formulation in Second Temple Historiographical Literature","","Bible, Old Testament (OT), Biblical History, Historiography, Second Temple Judaism","2010-11-11T18:45:29+11:00","T&T Clark","9780567410627","amazon:0567410625,google:WjKFAkSEovgC,isbn:9780567410627,goodreads:8373942"
"Youn Ho Chung","The Sin of the Calf The Rise of the Bible's Negative Attitude Toward the Golden Calf","","Old Testament (OT), Exodus, Exegesis, Bible","2010-04-29T18:00:00+11:00","T&T Clark","9780567425904","goodreads:8063636,google:i9DqirKS-RoC,isbn:9780567425904,amazon:0567425908"
"Dermot Anthony Nestor","Cognitive Perspectives on Israelite Identity","","Archaeology, Social Science, Old Testament (OT), Exegesis, Bible","2012-12-04T17:11:34+11:00","","9780567012975","goodreads:12128541,isbn:9780567012975,amazon:0567012972,google:LfCC9k2NP2IC"
"Julia M. O'Brien, Chris Franke","The Aesthetics of Violence in the Prophets","","Prophets, Old Testament (OT), Bible","2012-12-05T02:16:32+11:00","","9780567548115","goodreads:6830060,isbn:9780567548115,amazon:0567548112,google:cZYyEAAAQBAJ"
"Rodrigo F. de Sousa","Eschatology & Messianism in LXX Isaiah 1-12","","Bible, Exegesis, Judaism, Old Testament (OT), Theology, Eschatology, Messiah, Septuagint (LXX), Isaiah","2012-12-03T18:21:51+11:00","","9780567258199","goodreads:8795629,google:qwAAvaK-NmgC,amazon:056725819X,isbn:9780567258199"
"Paul M. Joyce","Ezekiel A Commentary","","Bible, Old Testament (OT), Old Testament Commentary, Prophets","2012-04-20T23:47:19+11:00","","9780567026859","isbn:9780567026859,goodreads:6028820,google:cdPYAAAAMAAJ,amazon:056702685X"
"Greger Andersson","Untamable Texts Literary Studies & Narrative Theory in the Books of Samuel","","Literary Criticism, Old Testament (OT), Semiotics, Bible","2009-01-01T19:00:00+11:00","T&T Clark","9780567520517","isbn:9780567520517,google:SvOl8-QPUOUC,goodreads:9247764,amazon:056752051X"
"Sarah Lebhar Hall","Conquering Character The Characterization of Joshua in Joshua 1-11","","Bible, Old Testament (OT), Exegesis, Joshua, Literary Criticism","2010-01-01T19:00:00+11:00","T&T Clark","9780567257031","isbn:9780567257031,amazon:0567257037,google:N5YyEAAAQBAJ,goodreads:11495635"
"Henning Graf Reventlow, Yair Hoffman","The Decalogue in Jewish & Christian Tradition","","Old Testament (OT), Bible, Exegesis, Theology","2012-04-20T23:24:44+11:00","","9780567218674","goodreads:6465935,google:OZYyEAAAQBAJ,amazon:0567218678,isbn:9780567218674"
"Patricia Dutcher-Walls","The Family in Life & in Death The Family in Ancient Israel Sociological & Archaeological Perspectives","","Old Testament (OT), Bible, Archaeology, Exegesis","2009-04-15T18:00:00+11:00","T&T Clark","9780567027573","amazon:0567027570,isbn:9780567027573,google:6ZUyEAAAQBAJ,goodreads:4979038"
"Stefano Cotrozzi","Expect the Unexpected Aspects of Pragmatic Foregrounding in Old Testament Narratives","","Linguistics, Old Testament (OT), Bible, Language","2010-04-29T11:00:00+11:00","T&T Clark","9780567568380","isbn:9780567568380,goodreads:6794233,amazon:0567568385,google:agZ_cvu9LzkC"
"Stephen L. Cook, John J. Ahn","Thus Says the LORD Essays on the Former & Latter Prophets in Honor of Robert R. Wilson","","Bible, Exegesis, Old Testament (OT), Prophets","2012-12-03T15:38:22+11:00","","9780567178046","goodreads:7579266,google:WqxYgYC4ESkC,isbn:9780567178046,amazon:0567178048"
"Joseph Lozovyy","Saul, Doeg, Nabal & the Son of Jesse Readings in 1 Samuel 16-25","","Bible, Old Testament (OT), Exegesis","2012-04-17T16:05:56+11:00","","",""
"Steven Schweitzer","Reading Utopia in Chronicles","","Bible, Exegesis, Old Testament (OT), Chronicles","2012-05-19T07:54:43+11:00","","9780567363176","amazon:0567363171,google:jhvUAwAAQBAJ,isbn:9780567363176,goodreads:7653613"
"Mark J. Boda, Michael H. Floyd","Tradition in Transition Haggai & Zechariah 1-8 in the Trajectory of Hebrew Theology","","Bible, Exegesis, Old Testament (OT), Theology, Zechariah, Haggai","2012-12-04T00:33:09+11:00","","9780567026514","google:ZejTAwAAQBAJ,amazon:0567026515,goodreads:4584932,isbn:9780567026514"
"Philip Peter Jenson","Obadiah, Jonah, Micah A Theological Commentary","","Old Testament (OT), Bible, Old Testament Commentary, Exegesis","2008-11-02T11:00:00+11:00","T&T Clark","9780567042224","goodreads:5351837,amazon:0567042227,isbn:9780567042224,google:xeZBAQAAIAAJ"
"Gregory Mobley","Samson & the Liminal Hero in the Ancient Near East","","Ancient Near East, ANE, Exegesis, Judges, Old Testament (OT), Bible","2006-01-01T19:00:00+11:00","T&T Clark","9780567028426","amazon:0567028429,google:xSTVAwAAQBAJ,goodreads:4274120,isbn:9780567028426"
"Paul S. Evans","Sennacherib and the War of 1812: Disputed Victory in the Assyrian Campaign of 701 bce in Light of Military History","","Historical Books, Old Testament (OT)","2022-12-17T00:27:09+11:00","","9780567708960","isbn:9780567708960,amazon:0567708969,google:w96DEAAAQBAJ,goodreads:62039398"
"J. G. McConville, Karl Möller","Reading the Law Studies in Honour of Gordon J. Wenham","","Bible, Old Testament (OT), Exegesis","2012-04-27T07:52:24+11:00","","",""
"Tommy Wasserman & Greger Andersson & David Willgren","History, Theology and Reception","","Prophets, Old Testament (OT), Theology, Bible, Exegesis","2016-10-15T00:30:26+11:00","","9780567667175","goodreads:30256898,isbn:9780567667175,google:aHkmDgAAQBAJ,amazon:0567667170"
"David Janzen","Chronicles and the Politics of Davidic Restoration","","Biblical Studies","2017-02-28T00:30:20+11:00","","9780567675484","goodreads:33198248,amazon:0567675483,google:X_laEAAAQBAJ,isbn:9780567675484"
"Troy D. Cudworth","War in Chronicles Temple Faithfulness & Israel’s Place in the Land","","Old Testament (OT), Exegesis","2015-11-27T23:07:21+11:00","","9780567666505","goodreads:27779207,isbn:9780567666505,google:b8uhjgEACAAJ,amazon:0567666506"
"Yitzhak Peleg Betty Rozen","Going Up & Going Down A Key to Interpreting Jacob's Dream (Genesis 28 10–22)-Bloomsbury T & T Clark (2015)","","Language Study, Biblical Reference, Old Testament (OT), Bible","2015-04-29T19:05:55+11:00","","9780567660251","goodreads:22895576,isbn:9780567660251,google:iuKyoQEACAAJ,amazon:0567660257"
"Stuart Weeks","Ecclesiastes & Scepticism","","Bible, Exegesis, Old Testament (OT), Wisdom Literature","0101-01-01T11:00:00+11:00","","9780567252883","isbn:9780567252883,goodreads:13732312,amazon:0567252884,google:-gRq-vi_lY0C"
"Sean E. Cook","The Solomon Narratives in the Context of the Hebrew Bible Told & Retold","","Old Testament (OT), Narrative Criticism, Bible","2017-06-29T18:00:00+11:00","T&T Clark","9780567673497","isbn:9780567673497,google:jh0LMQAACAAJ,goodreads:33198244,amazon:0567673499"
"Yael Avrahami","The Senses of Scripture Sensory Perception in the Hebrew Bible","","Bible, Exegesis, Old Testament (OT), Literary Criticism","0101-01-01T11:00:00+11:00","","9780567353320","google:Nq6oAwAAQBAJ,isbn:9780567353320"
"Mordechai Cogan Katharine J. Dell David Glatt-Gilad","Human Interaction & the Natural World in Wisdom Literature & Beyond Essays","","Old Testament (OT), Wisdom Literature, Essays","0101-01-01T11:00:00+11:00","","9780521445917","isbn:9780521445917,google:J83pppQhUbkC"
"Steven J. Schweitzer & Frauke Uhlenbruch","World that could not be Utopia in Chronicles, Ezra and Nehemiah","","Old Testament (OT), Exegesis","2015-10-24T03:01:47+11:00","","9780567664051","amazon:0567664058,isbn:9780567664051,google:EE0UCwAAQBAJ,goodreads:24804207"
"Steed Vernyl Davidson","Empire & Exile Postcolonial Readings of the Book of Jeremiah","","Bible, Exegesis, Jeremiah, Old Testament (OT), Prophets","0101-01-01T11:00:00+11:00","","9780567470713","google:j7OoAwAAQBAJ,isbn:9780567470713"
"Rachelle Gilmour","Juxtaposition & the Elisha Cycle","","Old Testament (OT), Prophets, Literary Criticism, Bible","2014-01-01T19:00:00+11:00","T&T Clark","9780567438096","google:-97BnQEACAAJ,goodreads:18193206,amazon:0567438090,isbn:9780567438096"
"Peter Joshua Atkins","The Animalising Affliction of Nebuchadnezzar in Daniel 4","","Babylon, Daniel, Old Testament (OT), Prophets, Exegesis","2022-10-21T00:17:10+11:00","","9780567706195","google:q72pEAAAQBAJ,goodreads:61796630,isbn:9780567706195,amazon:0567706192"
"Philip Sumpter","The Substance of Psalm 24 An Attempt to Read Scripture after Brevard S. Childs","","Bible, Exegesis, Old Testament (OT), Psalms, Wisdom Literature","2015-01-30T02:24:50+11:00","","9780567656179","amazon:0567656179,goodreads:21943707,google:ip-yBwAAQBAJ,isbn:9780567656179"
"Milton Eng","The Days of Our Years A Lexical Semantic Study of the Life Cycle in Biblical Israel","","Bible, Old Testament (OT), Biblical Hebrew, Lexicography, Linguistics","2011-01-01T19:00:00+11:00","T&T Clark","9780567025036","goodreads:12973830,amazon:0567025039,isbn:9780567025036,google:zlsaLgBdLF8C"
"Natalie F. Mylonas","Jerusalem as Contested Space in Ezekiel Exilic Encounters & Emotions, Space & Identity Politics","","Feminism, Bible, Exegesis, Old Testament (OT), Gender Studies","0101-01-01T11:00:00+11:00","","",""
"Marjo Korpel & Lester L. Grabbe","Open-Mindedness in the Bible and Beyond","","Old Testament (OT), Exegesis, Bible","2015-04-16T00:15:15+11:00","","9780567663801","isbn:9780567663801,goodreads:24888948,amazon:0567663809,google:H9amCAAAQBAJ"
"Mayer I. Gruber","Hosea: A Textual Commentary","","Old Testament (OT), Exegesis","2017-05-04T00:49:57+11:00","","9780567671745","goodreads:30139557,isbn:9780567671745,amazon:0567671747,google:5CS6jwEACAAJ"
"Mark K. George","Constructions of Space IV Further Developments in Examining Ancient Israel’s Social Space","","Ancient, Bible, History, Biblical Hebrew","0101-01-01T11:00:00+11:00","","9780567342836","isbn:9780567342836,amazon:0567342832"
"The Return of the King Messianic Expectation in Book V of the Psalter-Bloomsbury T & T Clark (2016)","Michael K. Snearly","","Old Testament (OT), Psalms, Wisdom Literature, Bible","2015-09-01T16:17:23+11:00","","9780567664334","isbn:9780567664334,goodreads:25659711,google:XpGOCgAAQBAJ,amazon:0567664333"
"Mark J. Boda, Russell L. Meek & William R. Osborne","Riddles and Revelations","","Old Testament (OT), Prophets, Prophecy, Wisdom Literature, Biblical Hebrew","2018-04-23T17:59:03+11:00","","9780567671653","isbn:9780567671653,google:k4hoDwAAQBAJ,amazon:0567671658,goodreads:40750085"
"Katherine Low","The Bible, Gender & Reception History The Case of Job’s Wife","","Old Testament (OT), Gender Studies, Bible, Reception History, Wisdom Literature, Job","0101-01-01T11:00:00+11:00","","9780567239211","goodreads:17234834,isbn:9780567239211,google:J0J3vgAACAAJ,amazon:0567239217"
"Katherine E. Southwood & Holly Morse","PSALMS AND THE USE OF THE CRITICAL IMAGINATION","","Old Testament (OT), Psalms, Wisdom Literature, Bible, Poetry","2022-02-21T21:14:32+11:00","","9780567696328","isbn:9780567696328,google:oLBoEAAAQBAJ,goodreads:57916944,amazon:0567696324"
"Lester L. Grabbe","The Land of Canaan in the Late Bronze Age","","Old Testament (OT), Canaanite Religion, Historical Criticism","2016-12-17T13:22:54+11:00","","9780567672810","amazon:0567672816,isbn:9780567672810,goodreads:30760719,google:e4XeDQAAQBAJ"
"Lester L. Grabbe","Enquire of the Former Age Ancient Historiography & Writing the History of Israel","","Archaeology, Historiography, Ancient History, Biblical History","0101-01-01T11:00:00+11:00","","9780567098238","isbn:9780567098238,amazon:0567098230,google:KNuVZwEACAAJ,goodreads:13732262"
"Grabbe, Lester L.; Camp, Claudia V.; Mein, Andrew","The Land of Canaan in the Late Bronze Age","","Ancient Near East, ANE, Bible, Canaanite Religion, Old Testament (OT)","2016-12-17T13:22:54+11:00","","9780567672810","amazon:0567672816,isbn:9780567672810,goodreads:30760719,google:e4XeDQAAQBAJ"
"Keith Bodner","The Artistic Dimension Literary Explorations of the Hebrew Bible","","Old Testament (OT), Literary Criticism, Bible","2013-01-01T19:00:00+11:00","T&T Clark","9780567451965","goodreads:18474224,google:QXNvAAAAQBAJ,amazon:0567451968,isbn:9780567451965"
"Kenneth H. Cuffey","The Literary Coherence of the Book of Micah Remnant, Restoration & Promise","","Bible, Literary Criticism, Micah, Minor Prophets, Old Testament (OT)","2014-11-20T19:00:00+11:00","Bloomsbury Academic","9780567001641","amazon:0567001644,isbn:9780567001641,google:Vs-rBwAAQBAJ,goodreads:17834483"
"Eveline van der Steen Jeanette Boertien Noor Mulder","Exploring the Narrative Jerusalem & Jordan in the Bronze & Iron Ages","","Archaeology, Bible, Narrative Criticism, Old Testament (OT)","2013-12-12T19:00:00+11:00","T&T Clark","9780567224125","google:VbdslQEACAAJ,amazon:0567224120,isbn:9780567224125,goodreads:17260374"
"Joshua L. Harper","Responding to a Puzzled Scribe","","Prophecy, Old Testament (OT), Exegesis, Bible","2015-08-25T19:46:25+11:00","","9780567658647","amazon:0567658643,isbn:9780567658647,goodreads:22561140,google:tqGyBwAAQBAJ"
"Katharine Dell Will Kynes","Reading Job Intertextually","","Bible, Exegesis, Old Testament (OT), Literary Criticism, Job, Wisdom Literature","0101-01-01T11:00:00+11:00","","9780567485526","goodreads:15860156,isbn:9780567485526,google:_ZNdmdSFnL4C,amazon:0567485528"
"Joshua T. James","The Storied Ethics of the Thanksgiving Psalms","","Biblical Studies","2017-05-22T23:59:18+11:00","","9780567675217","goodreads:34701341,isbn:9780567675217,amazon:0567675211,google:U7lFnQAACAAJ"
"Jonathan Thambyrajah","Loadwords in Biblical Literature Rhetorical Studies in Esther, Daniel, Ezra and Exodus","","Old Testament (OT), Lexicography, Linguistics, Biblical Hebrew","0101-01-01T11:00:00+11:00","","9780567703064","google:Y2WLEAAAQBAJ,isbn:9780567703064,goodreads:59085918,amazon:0567703061"
"Jonathan Gibson","COVENANT CONTINUITY AND FIDELITY","","Old Testament (OT), Covenant Theology, Malachi","2016-07-14T21:04:35+11:00","","9780567665140","amazon:0567665143,isbn:9780567665140,google:pGWljgEACAAJ,goodreads:27779189"
"Jorunn Økland J. Cornelis de Vos Karen Wenell","Constructions of Space III Biblical Spatiality & the Sacred","","Bible, Old Testament (OT), Biblical Hebrew","2013-03-28T18:00:00+11:00","T&T Clark","9780567115164","google:TJ2ncQAACAAJ,isbn:9780567115164,goodreads:9106158,amazon:056711516X"
"Hugo Gressmann David M. Gunn","Narrative & Novella in Samuel Studies by Hugo Gressmann & Other Scholars 1906-1923","","Old Testament (OT), Bible, Essays","0101-01-01T11:00:00+11:00","","9781850752813","amazon:1850752818,isbn:9781850752813"
"John Jarick","SOTS at 100: Centennial Essays of the Society for Old Testament Study","","Old Testament (OT), Essays","2016-11-03T23:36:20+11:00","","9780567673640","isbn:9780567673640,amazon:0567673642,google:C7QzvgAACAAJ,goodreads:31948972"
"Johanna Stiebert","First-Degree Incest and the Hebrew Bible","","Bible, Old Testament (OT), Gender Studies, Exegesis","2016-08-17T00:52:27+11:00","","9780567600332","google:gTnojwEACAAJ,goodreads:30078552,amazon:0567600335,isbn:9780567600332"
"John Jarick","Perspectives on Israelite Wisdom","","Old Testament (OT), Poetry, Wisdom Literature","2015-09-25T03:13:31+11:00","","9780567663160","goodreads:25659706,google:CfY_rgEACAAJ,amazon:0567663167,isbn:9780567663160"
"J. Kabamba Kiboko","Divining the Woman of Endor","","Biblical Studies","2016-12-09T04:48:25+11:00","","9780567673671","amazon:0567673677,google:Y_laEAAAQBAJ,goodreads:31948970,isbn:9780567673671"
"Gordon K. Oeste","Legitimacy, Illegitimacy & the Right to Rule Windows on Abimelech’s Rise & Demise in Judges 9","","Old Testament (OT), Bible, Wisdom Literature, Poetry","2011-07-21T18:00:00+11:00","Not Avail","9780567557186","google:B7eoAwAAQBAJ,isbn:9780567557186,goodreads:23045968,amazon:0567557189"
"David Allan Dawson","Text-Linguistics & Biblical Hebrew","","Linguistics, Old Testament (OT), Biblical Hebrew","0101-01-01T11:00:00+11:00","","9780567226853","google:TsKaPgAACAAJ,goodreads:7485791,amazon:0567226859,isbn:9780567226853"
"Hugh S. Pyper","The Unchained Bible","","Bible, Exegesis, Cultural Context","2012-09-10T06:28:36+11:00","","9780567187062","google:yWm3W1D5m1YC,isbn:9780567187062,amazon:0567187063,goodreads:17889576"
"Else K. Holt,","Concerning the Nations","","Bible, Exegesis, Old Testament (OT), Prophecy, Isaiah, Jeremiah, Ezekiel, Oracles","2015-05-22T22:24:35+11:00","","9780567660060","isbn:9780567660060,goodreads:22609732,amazon:0567660060,google:79pgBwAAQBAJ"
"G. Brooke Lester","Daniel Evokes Isaiah","","Aramaic, Bible, Daniel, Exegesis, Isaiah, Literary Criticism, Old Testament (OT), Prophets, Biblical Hebrew","2015-08-07T22:26:02+11:00","","9780567658579","goodreads:23395004,isbn:9780567658579,google:doq1oQEACAAJ,amazon:0567658570"
"Ehud Ben Zvi, Claudia V. Camp, David M. Gunn & Aaron W. Hughes","Poets, Prophets, and Texts in Play","","Bible, Exegesis, Prophecy, Literary Criticism","2015-10-30T20:21:55+11:00","","9780567224095","isbn:9780567224095,google:WcHBoAEACAAJ,goodreads:22560769,amazon:0567224090"
"Donald P. Moffat","Ezra’s Social Drama Identity Formation, Marriage & Social Conflict in Ezra 9 & 10","","Old Testament (OT), Exegesis, Exile, Second Temple Period","2013-04-16T16:04:30+11:00","","9780567609120","isbn:9780567609120,google:dmexCNhYj2gC,amazon:056760912X,goodreads:17188172"
"Emma England","Reception History and Biblical Studies","","Bible, Exegesis, Reception History","2015-03-28T19:49:40+11:00","","9780567660084","google:hMQJCAAAQBAJ,goodreads:22895574,isbn:9780567660084,amazon:0567660087"
"Dolores G. Kamrada","HEROINES, HEROES AND DEITY","","Old Testament (OT), Exegesis","2016-06-01T02:09:08+11:00","","9780567662378","amazon:0567662373,isbn:9780567662378,google:g0SejwEACAAJ,goodreads:28595816"
"Dominic S. Irudayaraj","Violence, Otherness and Identity in Isaiah 63:1-6","","Bible, Exegesis, Isaiah, Old Testament (OT), Prophets","2017-02-01T06:33:37+11:00","","9780567671462","goodreads:31948965,isbn:9780567671462,amazon:0567671461,google:catCDgAAQBAJ"
"Edward Allen Jones, III","Reading Ruth in the Restoration Period A Call for Inclusion","","Old Testament (OT), Bible","2016-05-05T11:00:00+11:00","T&T Clark","9780567658449","google:X3YYswEACAAJ,goodreads:25990937,amazon:0567658449,isbn:9780567658449"
"Barbara Green","David’s Capacity For Compassion A Literary-Hermeneutical Study of 1–2 Samuel","","Old Testament (OT), Literary Criticism, Hermeneutics, Exegesis, Bible","2017-04-20T18:00:00+11:00","T&T Clark","9780567673589","isbn:9780567673589,amazon:0567673588,google:u6tCDgAAQBAJ,goodreads:33198246"
"Christl M. Maier Carolyn J. Sharp","Prophecy & Power Jeremiah in Feminist & Postcolonial Perspective","","Old Testament (OT), Bible, Jeremiah, Gender Studies","0101-01-01T11:00:00+11:00","","9780429919206","google:sJNXDwAAQBAJ,isbn:9780429919206"
"Christian Frevel","Mixed Marriages Intermarriage & Group Identity in the Second Temple Period","","Bible, Exegesis, Judaism, Old Testament (OT), Rituals & Practice, Second Temple Judaism","0101-01-01T11:00:00+11:00","","9780567197658","isbn:9780567197658,goodreads:13732334,amazon:0567310507,google:_KaoAwAAQBAJ"
"Dalit Rom-Shiloni","Exclusive Inclusivity Identity Conflicts between the Exiles & the People who Remained","","Old Testament (OT), Exile, Babylon, Remnant Theology, Theology","0101-01-01T11:00:00+11:00","","9780567122445","isbn:9780567122445,google:0ZArDwAAQBAJ"
"April D. Westbrook","And He Will Take Your Daughters...'","","Bible, Exegesis, New Testament (NT), Old Testament (OT), Historical Books","2015-02-21T17:51:32+11:00","","9780567658524","google:_Wc0BwAAQBAJ,goodreads:22561134,amazon:056765852X,isbn:9780567658524"
"Benjamin D. Giffone","Sit At My Right Hand","","Bible, Exegesis, Old Testament (OT), Chronicles","2016-08-11T00:55:29+11:00","","9780567667311","goodreads:28595800,isbn:9780567667311,amazon:0567667316,google:9hqSjwEACAAJ"
"Antti Laato","The Origin of Israelite Zion Theology","","Zion Theology, Old Testament (OT), Bible, Theology","2018-04-21T03:17:37+11:00","","9780567680020","goodreads:36998881,amazon:0567680029,isbn:9780567680020"
"Walter Houston","Contending for Justice Ideologies & Theologies of Social Justice in the Old Testament","","Bible, Exegesis, Old Testament (OT), Torah","2012-05-23T01:59:06+11:00","","9780567033543","goodreads:5243468,amazon:0567043738,isbn:9780567033543"
"Anne-Mareike Wetter","""On Her Account""","","Old Testament (OT), Gender Studies","2015-07-11T02:22:53+11:00","","9780567664297","google:ytiKrgEACAAJ,isbn:9780567664297,goodreads:25659734,amazon:0567664295"
"Edelman, Diana Vikander, Davies, Philip R.","Historian and the Bible","","Bible, Exegesis, Old Testament (OT), Biblical History, Historiography","0101-01-01T11:00:00+11:00","","9780567202680","goodreads:10784759,google:yd1gShlvFPkC,isbn:9780567202680,amazon:0567202682"
"Lester L. Grabbe","Israel in Transition From Late Bronze II to Iron IIA (c. 1250-850 B.C.E.) The Texts","","Bible, Exegesis, Old Testament (OT), Archaeology","2012-04-16T16:46:52+11:00","","9780567649485","goodreads:8924668,isbn:9780567649485,google:agSC0aHvri0C,amazon:0567649482"
"Nancy Calvert-Koyzis, Heather Weir","Breaking Boundaries Female Biblical Interpreters Who Challenged the Status Quo","","Old Testament (OT), Exegesis, Bible","2011-11-11T02:30:44+11:00","","9780567595034","goodreads:9956893,isbn:9780567595034,google:bO01p-FS8hoC,amazon:056759503X"
"Amy Merrill Willis","Dissonance and the Drama of Divine Sovereignty in the Book of Daniel","","Bible, Old Testament (OT), Minor Prophets, Daniel, Apocalyptic Literature, Exegesis","2011-06-07T18:28:04+11:00","","9780567379481","isbn:9780567379481,goodreads:8626182,google:J78uQQAACAAJ,amazon:0567379485"
"Francesca Stavrakopoulou","Land of Our Fathers The Roles of Ancestor Veneration in Biblical Land Claims","","Ancient Geography, Bible, Old Testament (OT), Biblical Theology","2012-09-19T03:08:48+11:00","","9780567028815","google:rnnDHVDovvoC,isbn:9780567028815,amazon:056702881X,goodreads:9399370"
"Richard G. Smith","Fate of Justice and Righteousness During David's Reign","","Bible, Old Testament (OT), Exegesis","0101-01-01T11:00:00+11:00","","0567026841","isbn:0567026841"
"Richard J. Bautch","Glory & Power, Ritual & Relationship The Sinai Covenant in the Postexilic Period","","Bible, Old Testament (OT), Second Temple Judaism, Covenant Theology","2009-03-01T18:46:21+11:00","T&T Clark","9780567028228","goodreads:5766547,amazon:0567028224,isbn:9780567028228,google:BO3TAwAAQBAJ"
"Alice Hunt","Missing Priests The Zadokites in Tradition & History","","Bible, Exegesis, Old Testament (OT)","2012-12-04T02:32:11+11:00","","9780567594549","google:8ruoAwAAQBAJ,amazon:0567028526,isbn:9780567594549,goodreads:1240674"
"1850756007.pdf","The Bridling of the Tongue & the Opening of the Mouth in Biblical Prophecy & T Clark","","Bible, Old Testament (OT), Prophecy, Theology","2004-08-26T15:12:01+11:00","","9781850756002","amazon:1850756007,isbn:9781850756002,goodreads:669089,google:QcuizgEACAAJ"
"Jože Krašovec","The Transformation of Biblical Proper Names","","Bible, Lexicography, Linguistics, Old Testament (OT), Semantics, Biblical Hebrew","2010-01-01T19:00:00+11:00","T&T Clark","9780567452245","amazon:0567452247,isbn:9780567452245,goodreads:8039126,google:OSMqVuZCbxoC"
"Philippe Guillaume","Land & Calendar The Priestly Document from Genesis 1 to Joshua 18","","Bible, Documentary Hypothesis, Exegesis, Old Testament (OT)","2012-12-04T03:38:24+11:00","","9780567322005","amazon:0567322009,goodreads:4237733,google:CCF3GrPMJUgC,isbn:9780567322005"
